ProjectId,CityId,LocalityId,ProjectName,BuilderId,BuilderName 
2340,269,3297,Janapriya Metropolis,1012,Janapriya Engineers Syndicate Builders 
2342,268,36945,Janapriya Arcadia,1012,Janapriya Engineers Syndicate Builders 
2344,34,562,Aswin HI-Light,9530,Aswin Builders 
2346,217,11556,Madhavaram Brindavan Palms,58090,Madhavaram Constructions And PNR Group 
314191,217,5432,Lavish Swastik Elegance,87233,Lavish Spaces
2348,34,638,Endee Villa 2,1202,Endee Properties Builders
2350,19,840,Sobha Garnet,16,Sobha Developers 
2352,19,839,AP Akshay Flora,25646,A P Bhandari Developers
2354,274,6401,Royale City,67451,Royale Urbanspace LLP
275835,421,47588,Parimal Kokan Vishwa,60407,Parimal Group
41652,13,12152,Lodha Evoq,124,Lodha Group
2358,21,46945,Baldota Spring Woods,1210,Baldota Group Builders 
2360,269,40218,Aparna Hill Park Avenues,129,Aparna Constructions and Estates 
2362,8,13008,ILD Grand,51,ILD Builders 
2364,172,7211,Premium The Courtyard Avenues,1212,Premium Acres Infratech Builders 
2366,22,421,Pragathi Nisarga,1216,Pragathi Land Developers 
2368,416,30821,Poonam Park,1220,Poonam Lifestyle Builders
262122,131,6648,Meadows Vattoly Tower,53540,Meadow Homes 
2370,269,957,Sri Sai Gruhanirmaan Shiridipuram,1222,Sri Sai Gruhanirmaan Builders
2372,47,9048,Dholera Metro City,1224,Dholera Sir Infra Development Builders 
2374,254,9040,Barwala Devashish Homes,1226,Barwala Infratech
2376,217,2259,Purvi Vindhya Residency,1228,Purvi Group Builders 
2378,269,5769,Aparna CyberZon,129,Aparna Constructions and Estates 
324193,269,22429,Greenmark Mayfair Bhel,93037,Greenmark Properties 
2380,274,12570,Hari Om Shree Niwas Residency,1230,Hari Om Construction 
319247,78,9790,Abhishek Luxuria,90323,Abhishek Developers Dadra And Nagar Haveli 
2382,269,7049,AV Indraprastha Enclave,457,Av Constructions Builders
2384,217,2262,Mahaghar Kings and Queens,1232,Mahaghar Properties Builders 
2386,67,9062,Agrim Vista,1234,Agrim Infraproject Builders
204427,269,5244,Building Blocks The Grandeur City,18892,Building Blocks Group
268061,269,6978,Bhashyam Cristal County,1812,Bhashyam Developers
2390,22,368,Mahalakshmi Enclave,1236,Mahalakshmi Constructions Builders 
2392,27,9956,Trans Amber,1238,Trans Concrete Builders
2396,21,5344,Aryan Faery,1242,Aryan Buildestates Builders
2398,268,5562,AV Hare Ram Residency,457,Av Constructions Builders
314271,54,45782,Pioneer Daffodils,58663,Pioneer Realtors 
2400,27,8005,DK South Green City,1244,Dk Infra Projects Builders 
2402,27,603,Trans Corel,1238,Trans Concrete Builders
2404,22,8324,Sonestaa Meadows,1246,Nirman Sonestaa Developers 
2406,36,6532,Tulive Horizon Residences,1248,Tulive Developers
2410,27,6841,Amantran Baruipur Bloomfield,1252,Amantran Ventures Builders 
2412,27,5067,Bashbhumi Green View,1254,Bashbhumi Realtors Builders
320833,96,9758,Shreeji Four Square,81421,Shreeji Enterprise Vadodara
301905,48,14814,Narnarayan Dharm Kutir,50031,Narnarayan Developers
269041,15,1444,Archstone Infinity Tower,57327,Archstone Realty 
2420,22,5457,Mahaghar Sri Sai Nilayam,1232,Mahaghar Properties Builders 
2422,34,5933,ICIPL Valencia,986,ICIPL Builders 
267231,149,37163,Mark Heritage,56115,Mark Construction
2424,34,566,Catalyst Comfort court,1260,Catalyst Properties
299843,300,13508,Ashtavinayak Varad Vinayak Residency,77921,Ashtavinayak Construction
2428,177,5756,Dreamline City,1262,Dreamline Colonizers And Developers
2430,165,9068,AD Avakash Villa,1264,AD Group 
2432,222,8158,Unibera Towers,1266,Unibera Group
263845,274,23579,Krishna Kunj,54285,Krishna Associates 
2434,19,14042,Forest Hills,441,Rainbow Housing Builders 
2436,27,8005,Urban Crown Villas,1268,Urban Buildtech
2438,26,497,Dewki Shankar Tower,1270,Dewki Construction Builders
2440,26,5065,Ajmir Apartment,1272,Ajmir Group
264077,269,2630,Sandstone Excella Greens,3694,Sandstone Infra Builders 
2442,185,7379,MS Thiru Murugan Nagar,1274,Ms Real Estate Builders
2444,269,8298,SRK Green Park,1276,Srk Green Avenues Builders 
2446,34,569,Archean Albatross,361,Archean Group
2448,47,9048,Aroma Aakruti Greens,1278,Aroma Realties Builders
2450,22,408,Splendid Eternity,1280,Splendid Group Builders
4436,222,10132,Ajnara Le Garden,167,Ajnara Group 
2454,19,1285,Rahul Park,1284,Rahul Constructions Builders 
45304,28,1495,Jain Dream Palazzo,85,Jain Group Builders
82367,14,5172,Damodar Park,6774, 
312341,75,41005,Gulshan Vatika,86271,Gulshan Vatika 
312343,346,29039,Nav Amba Park,86273,Nav Durga Construction 
40774,8,7490,Vatika Iris Floors,8,Vatika Group 
39342,275,21923,Gold Crest 369,15542,Mehta Developers 
53576,17,4944,AP Realty Mahir,29611,AP Realty
2462,177,5691,Shree Ram Vihar-I,43133,Shree Ram Multiplex Private
2464,274,19609,Dheeraj Shree Krishna Heights,198,Dheeraj Realty Builders
19608,16,1325,Marathon NextGen Era,306,Marathon Group 
19456,16,4924,Lokhandwala Residency,5970,Lokhandwala Infrastructure 
2472,8,6138,Sare Green Parc 2,574,Sare Homes 
2474,19,6250,Majestique Alkasa,4310,Mantra Properties Builders 
2476,26,498,G M Meena Pearl,7950,GM Group 
2478,26,4609,G M Meena Residency 2,7950,GM Group 
2480,19,1281,Bharti Gold,1298,Bharti Developers
2482,34,562,Popular Maruthi Homes,1300,Popular Maruthi Foundation 
